code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09988,阿里巴巴-W,2020-05-29 00:00:00,190.40323,191.70323,193.70323,189.40323,25.555,0.00091,19459191,3787995192.0,0.4190604842044752,190.90323
HK.09988,阿里巴巴-W,2020-06-01 00:00:00,197.40323,200.20323,201.40323,197.40323,26.673,0.00125,26826195,5433910737.0,4.433936767784247,191.70323
HK.09988,阿里巴巴-W,2020-06-02 00:00:00,199.00323,197.40323,199.20323,196.90323,26.305,0.00106,22818103,4574799209.0,-1.3985788341177028,200.20323
HK.09988,阿里巴巴-W,2020-06-03 00:00:00,205.40323,207.00323,207.20323,204.20323,27.568,0.00181,38794267,8085784227.0,4.863142310285396,197.40323
HK.09988,阿里巴巴-W,2020-06-04 00:00:00,210.40323,208.40323,210.40323,204.80323,27.752,0.00107,22860283,4803200381.0,0.6763179492416643,207.00323
HK.09988,阿里巴巴-W,2020-06-05 00:00:00,209.40323,209.60323,211.00323,206.80323,27.91,0.00104,22415326,4747813114.0,0.575806814510499,208.40323
HK.09988,阿里巴巴-W,2020-06-08 00:00:00,212.00323,209.80323,212.00323,208.20323,27.936,0.00084,17992461,3820890251.0,0.09541837690192898,209.60323
HK.09988,阿里巴巴-W,2020-06-09 00:00:00,210.20323,209.80323,212.00323,209.00323,27.936,0.00107,23063431,4923939771.0,0.0,209.80323
HK.09988,阿里巴巴-W,2020-06-10 00:00:00,211.60323,213.00323,214.20323,211.20323,28.357,0.00089,19038860,4106913929.0,1.5252386724455997,209.80323
HK.09988,阿里巴巴-W,2020-06-11 00:00:00,215.40323,210.40323,218.00323,209.20323,28.015,0.00154,33036598,7170604189.0,-1.2206387668393546,213.00323
HK.09988,阿里巴巴-W,2020-06-12 00:00:00,205.60323,209.40323,211.40323,204.80323,27.883,0.00117,25058536,5304963065.0,-0.4752778747740707,210.40323
HK.09988,阿里巴巴-W,2020-06-15 00:00:00,207.20323,204.20323,209.80323,202.80323,27.199,0.00148,31716109,6621760870.0,-2.4832472736929687,209.40323
HK.09988,阿里巴巴-W,2020-06-16 00:00:00,208.60323,210.60323,211.80323,208.40323,28.041,0.00084,18039173,3843338219.0,3.134132599175834,204.20323
HK.09988,阿里巴巴-W,2020-06-17 00:00:00,213.40323,215.20323,215.80323,211.60323,28.646,0.001,21385682,4641106088.0,2.184202018174173,210.60323
HK.09988,阿里巴巴-W,2020-06-18 00:00:00,216.20323,215.20323,216.20323,212.60323,28.646,0.00075,16168952,3508457243.0,0.0,215.20323
HK.09988,阿里巴巴-W,2020-06-19 00:00:00,214.40323,216.40323,217.20323,213.60323,28.804,0.00127,27295880,5963502386.0,0.5576124484748751,215.20323
HK.09988,阿里巴巴-W,2020-06-22 00:00:00,213.60323,210.40323,213.60323,210.00323,28.015,0.00131,28166629,6034961256.0,-2.772601869205002,216.40323
HK.09988,阿里巴巴-W,2020-06-23 00:00:00,213.40323,217.40323,217.40323,209.40323,28.935,0.00188,40290287,8751727916.0,3.326945123418495,210.40323
HK.09988,阿里巴巴-W,2020-06-24 00:00:00,220.20323,218.80323,222.20323,218.80323,29.12,0.00141,30207600,6733812318.0,0.64396467338595,217.40323
HK.09988,阿里巴巴-W,2020-06-26 00:00:00,214.40323,212.00323,214.40323,211.80323,28.225,0.00155,33158894,7148083315.0,-3.1078151817045896,218.80323
HK.09988,阿里巴巴-W,2020-06-29 00:00:00,208.40323,206.80323,209.00323,206.00323,27.541,0.00158,33824007,7101463811.0,-2.4527928182980934,212.00323
HK.09988,阿里巴巴-W,2020-06-30 00:00:00,208.00323,207.00323,209.60323,205.80323,27.568,0.00113,24171917,5079256128.0,0.09671028832576195,206.80323
HK.09988,阿里巴巴-W,2020-07-02 00:00:00,209.20323,211.80323,212.40323,207.60323,28.199,0.00145,31018228,6615651264.0,2.318804397399988,207.00323
HK.09988,阿里巴巴-W,2020-07-03 00:00:00,217.40323,218.20323,218.80323,214.60323,29.041,0.00146,31233712,6866483138.0,3.021672521235855,211.80323
HK.09988,阿里巴巴-W,2020-07-06 00:00:00,221.40323,222.80323,224.20323,220.40323,29.646,0.00198,42489587,9565812073.0,2.1081264470741443,218.20323
HK.09988,阿里巴巴-W,2020-07-07 00:00:00,230.60323,229.80323,236.40323,229.40323,30.566,0.00217,46585757,10976670178.0,3.1417856913474727,222.80323
HK.09988,阿里巴巴-W,2020-07-08 00:00:00,228.40323,235.20323,236.00323,228.40323,31.277,0.00149,31883443,7525714270.0,2.349836423099874,229.80323
HK.09988,阿里巴巴-W,2020-07-09 00:00:00,252.20323,259.00323,261.20323,249.40323,34.407,0.00287,61690256,15896897807.0,10.118908656143875,235.20323
HK.09988,阿里巴巴-W,2020-07-10 00:00:00,254.40323,252.80323,259.40323,250.40323,33.592,0.00207,44519242,11429206656.0,-2.393792540733936,259.00323
HK.09988,阿里巴巴-W,2020-07-13 00:00:00,251.40323,251.80323,255.80323,248.60323,33.46,0.00144,30979669,7896896064.0,-0.3955645661647599,252.80323
HK.09988,阿里巴巴-W,2020-07-14 00:00:00,241.80323,237.80323,243.80323,235.80323,31.619,0.0025,53646972,12924583705.0,-5.559896908391524,251.80323
HK.09988,阿里巴巴-W,2020-07-15 00:00:00,241.40323,240.80323,242.60323,236.40323,32.013,0.00108,23131222,5619625834.0,1.2615472043840614,237.80323
HK.09988,阿里巴巴-W,2020-07-16 00:00:00,240.20323,230.60323,240.20323,229.00323,30.672,0.0016,34282035,8078911546.0,-4.235823580937854,240.80323
HK.09988,阿里巴巴-W,2020-07-17 00:00:00,232.80323,236.20323,238.00323,230.80323,31.408,0.00094,20224245,4824925245.0,2.4284135135487888,230.60323
HK.09988,阿里巴巴-W,2020-07-20 00:00:00,235.40323,237.00323,239.20323,232.60323,31.513,0.00053,11353749,2722802020.0,0.3386913887672118,236.20323
HK.09988,阿里巴巴-W,2020-07-21 00:00:00,249.20323,254.40323,255.00323,248.20323,33.802,0.00211,45185546,11501209014.0,7.341672094511119,237.00323
HK.09988,阿里巴巴-W,2020-07-22 00:00:00,248.80323,245.40323,252.20323,245.00323,32.618,0.0017,36503672,9180126163.0,-3.5376909326190553,254.40323
